reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9b212797-d1ac-404f-b35b-fdd2c832307e,Aida EnFebriant,https://play-lh.googleusercontent.com/a-/ALV-UjV73jXOg3bDYpwTh3lRRYGNmUwCGypnt0XEJc2d8D_Xk-1I,"Sangat baik. Sebagai saran. Untuk list produk yang ada di keranjang kuning. Jika di tambahkan fitur ""urutan"" dari yg paling lama ke paling baru atau sebaliknya. Sepertinya akan sangat membantu. Karena kadang kita ingin tau produk terdahulu apa saja yg masih tersimpan di keranjang, untuk menghapus sebagian kecilnya, apalagi ketika sudah tertimbun dan list di keranjang yg sudah melampaui batas >200 toko berbeda. Akan sangat sulit untuk mengSchroll ke bagian paling bawah.. trimakasih",4,4338,3.08.12,2023-09-13 13:47:37,,,3.08.12
90852a54-66b2-4bc7-8879-eb7059005251,Yengki,https://play-lh.googleusercontent.com/a/ACg8ocLGMzSvp2_S_GVPzCYbDP7bI3Yn9HfN4XwbgE1JVxjw=mo,"Gak tau kenapa dlu apk ini tidak lemot,skrng tba2 lemot gambar2 lama sekali bisa dilihat,dan saat memesan,pesanan tiba2 ter klik pesanan sudah diterima padahal tidak diklik sama sekali,nnti klo ada apa2 dngn paket nya bakalan susah,mohon diperbaiki lagi,smoga bisa jdi lebih bagus lgi.",3,2508,3.08.12,2023-09-23 12:11:24,,,3.08.12
a43f0dc8-ba4c-4c72-b7e1-503b155b3aca,Aizzan RaQila,https://play-lh.googleusercontent.com/a/ACg8ocJG6V_pnEKNdhk-Puk9S2rTeehAumRF17raEYEa8AT_=mo,"Aplikasi lemot, terlalu banyak iklan, sekarang hanya tersedia 2 expedisi saja, beda dgn yg dlu.. Kadang jg gk bisa CO padahal jaringan bagus, terlalu banyak mengambil penyimpanan ruang.. Semoga kedepannya aplikasi shopee bisa lebih baik lagi",2,9896,3.08.08,2023-09-04 15:04:57,"Hi kak, maaf bikin km ga nyaman terkait kendala aplikasi. mimin saranin, pastiin udh update aplikasi, jaringan km stabil, Clear Cache aplikasi Shopee, Log out & Log in kembali. Coba secara berkala 1x24 jam, klo msh berkendala km bisa kirim SS review ini di DM Social Media kita @Shopee_id / @Shopeecare ya , Sehat selalu🙏^AZ",2023-09-04 16:24:01,3.08.08
91b5a35b-d7eb-452e-9605-27f1f5672a47,Lukman,https://play-lh.googleusercontent.com/a/ACg8ocKkJonVfgyy5EgB9Ks-BPeoqa2EGWQm_DJJrLQi2BcYvA=mo,"Suka muncul iklan yang langsung ke aplikasi. Ketika ditutup, malah web sebelumnya ter-back. Masih mending liat produk yang di x, kalau menarik pun bakal dibeli. Kalau suka muncul kayak begini malah jadi risih, sampe kepikiran mau uninstall aja.",1,1514,3.08.12,2023-09-10 14:50:03,,,3.08.12
bde666e7-a98e-45d5-814f-5448545f951a,Faldya Yasser,https://play-lh.googleusercontent.com/a-/ALV-UjU3Nxu0uKZM6V6FF0rOqtze8FSn7dpmAybuBJSmvYJvxtBA,"Mohon untuk pihak developer, tolong tambahkan opsi di pengaturan untuk AUTO PLAY VIDEO bisa di hidupkan dan dimatikan, agar untuk menghemat penggunaan paket data, tidak semua orang menggunakan wifi dan ada beberapa yang menggunakan paket data, sedikit risih Min untuk video auto play di setiap produk dan untuk di ulasan video orang. mohon bantuan nya.",3,928,3.09.10,2023-09-26 18:27:51,"Hai kak, Mohon maaf atas terkait kendalanya. Shopee selalu berusaha memberikan pelayanan terbaik untuk semua pengguna. Jika ada kendala mohon hubungi kami dengan memberikan screenshot review ini melalui Live Chat atau DM ke Social Media kita @Shopee_id / @Shopeecare ya. Stay Safe🙏^HV",2023-09-26 23:46:56,3.09.10
3aa0fab1-2c34-4761-85b4-2a1d2b2832c5,13maret 2001,https://play-lh.googleusercontent.com/a-/ALV-UjWa9psFrweazaXIb4fzjdlR1LVCAYntGaD3DEgdyB7iROQ,"Kecewa banget sama shopee, akhir-akhir ini, mulai dari pengirimannya eh sekarang pembayarannya.. Butuh cepet malah pembayarannya eror. Masa mau bayar lewat transfer , no. Rekening tidak valid. Terus coba pake spaylater malah jaringan tidak ada. GAJELASSSSS, Harusnya makin laku makin bagus, bukannya makin down.",1,12,3.09.20,2023-10-01 14:00:18,"Hai kak, maaf ya atas kendala pesanan blm sampai. Mimin infoin, kakak menunggu sampai tgl estimasi & klik ""Perpanjang Masa Garansi Shopee"" . Jika sdh dilakukan namun masih berkendala bisa chat mimin ke Live Chat atau DM IG @shopee_id / @shopeecare_id . Stay safe 🙏^RY",2023-05-12 02:46:15,3.09.20
e855b324-cb05-4c95-b1d5-ebdef8f69dac,Arif Fathul Andalus,https://play-lh.googleusercontent.com/a-/ALV-UjUMuoRaAvplqG-37cMYsIdvIMMgD9jqGjk6SV5lHZHLnwM,"Aplikasi pengganggu, nelpon berkali-kali menawarkan spinjam. Akkhirnya saya angkat telponnya dan mendengarkan penjelasan untuk hanya mengaktifkan spinjam tanpa perlu meminjam. Pas mau diaktifkan malah gak bisa, suruh hubungi operator. Dasar sinting! Bikin aplikasi koq membingungkan.",1,12034,3.08.08,2023-08-29 03:13:23,"Hi kak Arif, maaf ya atas kendala yg km alami. Aku saranin utk lbh berhati2 pd pihak yg mengaku sbg Shopee & pastiin tdk klik link apapun yg diinfokan kecuali dr web resmi shopee.co.id atau apk Shopee. Kakak bisa hubungi kami dgn memberikan screenshot review ini melalui Live Chat atau DM ke Sosmed kita @Shopee_id / @Shopeecare ya. Stay safe🙏 ^JH",2023-08-29 05:33:49,3.08.08
4e319d72-185d-40a0-93e4-ae6e46ddc68e,Putrada Bastanta,https://play-lh.googleusercontent.com/a-/ALV-UjXefDU9xx9MSdv6vgXV0itY57m6gjNGoFP0vw6kjdo-Hjg,"Aplikasinya sangat lambat dan sering ngefreeze padahal aplikasi lainnya di hp saya lancar. Speed juga kencang. Mau belanja juga nunggu loading imagenya lama amat, mau beri penilaian belanjaan juga susah, ngefreze dan susah upload video dan gambar gagal mulu.Sudah coba clear data dan cache bahkan instal ulang sama aja. Tolong kestabilan aplikasinya diperbaiki. Overall sistem belanja sudah baik hanya masalah aplikasi yang belum stabil",2,16006,3.06.14,2023-08-13 03:22:17,"Hi kak, mohon maaf utk kendalanya. Terkait kendala pd aplikasi kmu, mohon pastikan kembali aplikasi sdh terbaru, memory HP mencukupi, jaringan stabil, clear cache aplikasi, logout & login kmbali, srta cobalah scra berkala. Klo msh trkndala, yuk hub mimin melalui Live Chat atau DM Sosial Media Shopee yg bercentang biru ya. Sehat selalu ^MV",2022-10-16 06:10:09,3.06.14
c0b6b3ce-7bd5-4919-80ba-0fda07486247,Ratih Kristana,https://play-lh.googleusercontent.com/a-/ALV-UjUfxJQd_Cig6IPX1OVX5G1URcI33wJl10Gk6Ts7BJA8mQ,"Aplikasi yg cukup menarik bagi saya, variasi pilihan produk sangat banyak dan lengkap dengan harga yang bervariasi juga, tp kadang ketika mencari barang dan sudah scroll lama tiba2 loading dan tampilan kembali ke atas sendiri, akhirnya scroll lg untuk cari barang lagi.",5,22,3.09.20,2023-10-01 00:35:17,"Hai ka maaf ya buat kamu gak nyaman terkait kendala aplikasi kamu. mimin saranin kakak bisa melakukan clear cache diaplikasi Shopee, coba logout lalu login kembali & bisa coba secara berkala 1x24 jam , apabila masih berkendala Mohon hubungi kami dengan memberikan screenshot review ini melalui DM di IG/Twitter ShopeeID/ShopeeCare. Stay Safe 🙏 ^WD",2023-10-01 01:30:33,3.09.20
8d58ff71-157f-4d26-9cd1-58da9698063b,Al AdahLandang,https://play-lh.googleusercontent.com/a/ACg8ocJetakZCWc2mTaNX2W7hoVwKjxHH3df-jb94BqQKtkf=mo,"Untuk belanja Sejauh ini Alhamdulillah tidak pernah mengecewakan belanja disini, tapi kadang saat buka aplikasi gambar lambat muncul, padahal jaringan bagus, & semoga gratis² ongkir selalu ada di setiap toko. Terimakasih Shopee telah memberikan pengalaman belanja yg baik, semoga kedepannya lebih ditingkatkan lagi aplikasinya agar lebih memuaskan.",5,734,3.08.12,2023-09-25 22:04:13,"Hai kak, thanks ya feedbacknya. Mimin seneng nih kmu puas blanja di Shopee. Terus pantau produk dengan harga mnark lainnya di Shopee. Smoga Shopee bs terus tingkatin fiturnya biar makin memudahkan blnja utk semua pengguna & Kakak makin setia jg sma Shopee. Klo ada kndla, hub via DM @shopeeID/@Shopeecare atau Live Chat Shopee ya. Happy Shopping ^LF",2023-09-25 22:20:25,3.08.12
f91b1202-ffec-44e7-a0af-48b7361ec036,KORO SENSEI,https://play-lh.googleusercontent.com/a-/ALV-UjWYyu32BtJokrxpPnrTQM1oFpiIPPJpmqrxi_L-ICxltoM,"Aplikasi lemot seharusnya tidak perlu diberi fiture video reel, atau fitur untuk live. Gunakan saja media sosial yang ada seperti YT, TT, IG atau lainnya jangan terlalu memaksakan. Untuk pengiriman saja yang seharusnya lebih di perbaiki setiap campaign pengiriman lambat. Kasihan penjual dan pembeli yang kena dampak parahh. Bayangin aja udah hampir 9 hari belum datang. Pasang iklan sana sini sanggup masa memperbaiki sistem pengiriman nggak selesai selesai. Sekian dan trimakasih",1,6122,3.06.13,2023-08-13 11:52:23,,,3.06.13
1d5f4e5c-c39e-4f57-bf2c-e64ffa50c3d5,S,https://play-lh.googleusercontent.com/a-/ALV-UjWUfeYMR5Nfyz6CmkusgB--wjy-AzS2kF_5hZD_qyBdZnI,"Setelah di update lagi, malah jadi berat, error, setiap buka apa-apa loading lama, pas hubungi cs nggak bisa dibuka lagi jendela chat, sampai sesi diakhiri otomatis sama cs nya. Ngeselin banget pokoknya, setelah diupdate aplikasi jadi lebih buruk.",1,1957,3.06.14,2023-08-14 08:48:50,"Hi kak, mohon maaf untuk kendalanya. mimin saranin pastikan jaringan stabil, lakukan clear cache, login dan logout kembali dan km bisa coba berkala dlm 1x24 jam kedepan ya kak. Mohon hubungi kami dengan memberikan screenshot review ini melalui Live Chat atau DM ke Media Sosial @Shopee_id / @Shopeecare ya. sehat selalu🙏^KN",2023-08-14 09:06:51,3.06.14
65395465-ea72-4712-b2c6-96ea62ac3b0c,Lingga J Carter,https://play-lh.googleusercontent.com/a-/ALV-UjVMkJHkg1PIoe6D3YGp1QyS_FtzQ1jvcOSOwXPw6cB7G6w,"Tolong donk perbaiki sistemnya, shopee gamesnya sering error terutama shopee bubble gara-gara aku update malah sering hang. Mengenai shopee tanam juga semakin pelit, semuanya serba dibatasi. Kalo sistemnya diperbaiki dan ke depannya lebih bagus lagi pelayanannya, saya tambah bintangnya, semoga dibaca.",2,5631,3.07.09,2023-08-21 06:26:13,"Hai Kak, maaf ya udh buat kamu ga nyaman 🙏 Terkait kendala kamu mimin saranin buat update aplikasi Shopee, jaringan yg kamu gunakan stabil, lakukan clear cache perangkat, dan coba berkala 1x24 jam. Mohon hubungi kami dengan memberikan screenshot review ini melalui Live Chat atau DM ke Media Sosial @Shopee_id / @Shopeecare ya. stay safe 🙏 ^YP",2023-08-21 07:31:34,3.07.09
de3ada4c-cfc5-4516-bbf3-b109754dc1fa,Hendy Sampalu,https://play-lh.googleusercontent.com/a-/ALV-UjX4b__E3WoN2AMrXFTTjYbGXea4BYhNoWvTqxbkd0QEdGU,"Tolong pada aplikasinya fitur pesanan diterima itu diaktifkan kalau pesanan sudah diterima. Karena terkadang pesanan belum tiba, kita sudah kepencet pesanan diterima nanti kalau mau komplain kalau ada yg tidak sesuai kan tidak bisa. Kalau fiturnya sdh dirubah atau ada penjelasan sya ubah bintangnya.",3,638,3.09.10,2023-09-19 08:18:43,"Hi kak, terimakasih utk feedbacknya. Mimin akan membertimbangkan masukkan km ya. Mimin akan terus berusaha utk memberikan layanan & solusi yg terbaik utk para penggunanya. Kalau ad pertanyaan lain km bs SS review ini melalui Live Chat atau DM ke Soc Med kta @Shopee_id/@Shopeecare ya.Have a great day🙏^HA",2023-09-19 10:05:03,3.09.10
276df22b-040e-41ac-b7cf-25c1e823cac2,Feby Wulandari,https://play-lh.googleusercontent.com/a-/ALV-UjUvWKDrxvSivOV5uVtcTnLX5ZaEdBeDFjkzICrCqNLMKFo,"Shopee makin kesini makin bad pelayanannya, aplikasinya lemot but check out harus nunggu lumayan lama. Pengiriman super duper lama banget pesanan dari tanggal 9 gak jalan jalan masih di lokasi yang sama. Gak Kek aplikasi sebelah pengiriman nya sangat cepat. Shopee ni lama lama gak ada perubahan ya, nunggu paket lama2 berharap banget datang ehh ujung2 nya hilang",1,1868,3.08.08,2023-09-09 08:16:30,"Hi kak, maaf banget ya atas kendalanya, mimin sarankan km utk perbarui aplikasi, jaringan stabil, clear cache, logout lalu login, serta coba berkala 1x24 jam. Kalo ada pertanyaan,Mohon hubungi kami dengan memberikan screenshot review ini melalui Live Chat atau DM ke Social Media kita @Shopee_id / @Shopeecare ya ^LD",2023-08-13 21:08:43,3.08.08
8d6cf323-fc26-4cb8-8360-c52a0196556b,Panggih Aji Pangestu,https://play-lh.googleusercontent.com/a-/ALV-UjUEQa8Gtrzhz7Acdlpyj9A1NgXLLXKCMa3jdxjU_e2klPQ,"Untuk produk dan pelayanan saya rasa sudah cukup bagus. Cuma minus nya di aplikasi yang berat dan kadang suka hang . Padahal koneksi internet saya itu bagus. Sama satu tambahan lagi untuk sesi penilaian tolobg durasi video max nya di tambah ke 3 menit, jadi bisa kasi review produk + unboxing. Teimaksih.",5,5529,3.05.11,2023-07-26 01:46:57,"Hi kak Aji, maaf ya bikin gak nyaman. terkait kendala aplikasi yg berat. aku saranin pastiin aplikasi km udh versi terbaru, jaringan kamu stabil, kamu jg bisa coba clear cache, log out dan log in kembali. coba berkala 1x24 jam. kalau msh berkendala bisa hub aku lg via Live Chat atau DM ke Media Sosial @Shopee_id/@Shopeecare. met pagi 🙏^YK",2023-07-26 02:35:09,3.05.11
